City,Region,Population,link
Kuressaare,Saare,"15,000",https://www.worlddata.info/europe/estonia/index.php
Võru,Võrumaa,"15,000",https://www.worlddata.info/europe/estonia/index.php
Valga,Valgamaa,"14,000",https://www.worlddata.info/europe/estonia/index.php
Haapsalu,Lääne,"12,000",https://www.worlddata.info/europe/estonia/index.php
Jõhvi,Ida-Virumaa,"11,000",https://www.worlddata.info/europe/estonia/index.php
Paide,Järvamaa,"9,740",https://www.worlddata.info/europe/estonia/index.php
Keila,Harju,"9,410",https://www.worlddata.info/europe/estonia/index.php
Tapa,Lääne-Virumaa,"6,550",https://www.worlddata.info/europe/estonia/index.php
Põlva,Põlvamaa,"6,500",https://www.worlddata.info/europe/estonia/index.php
Jõgeva,Jõgevamaa,"6,400",https://www.worlddata.info/europe/estonia/index.php
Türi,Järvamaa,"6,140",https://www.worlddata.info/europe/estonia/index.php
Elva,Tartu,"5,820",https://www.worlddata.info/europe/estonia/index.php
Rapla,Raplamaa,"5,680",https://www.worlddata.info/europe/estonia/index.php
Saue,Harju,"5,020",https://www.worlddata.info/europe/estonia/index.php
Põltsamaa,Jõgevamaa,"4,760",https://www.worlddata.info/europe/estonia/index.php
Kärdla,Hiiumaa,"3,760",https://www.worlddata.info/europe/estonia/index.php
Tórshavn / Capital,Streymoy,"13,000",https://www.worlddata.info/europe/faroe-islands/index.php
Klaksvík,Norðoyar,"4,660",https://www.worlddata.info/europe/faroe-islands/index.php
Hoyvík,Streymoy,"2,780",https://www.worlddata.info/europe/faroe-islands/index.php
Argir,Streymoy,"1,870",https://www.worlddata.info/europe/faroe-islands/index.php
Vágur,Suðuroy,"1,570",https://www.worlddata.info/europe/faroe-islands/index.php
Fuglafjørður,Eysturoy,"1,540",https://www.worlddata.info/europe/faroe-islands/index.php
Vestmanna,Streymoy,"1,280",https://www.worlddata.info/europe/faroe-islands/index.php
Tvøroyri,Suðuroy,"1,230",https://www.worlddata.info/europe/faroe-islands/index.php
Sørvágur,Vágar,"1,070",https://www.worlddata.info/europe/faroe-islands/index.php
Kollafjørður,Streymoy,"1,050",https://www.worlddata.info/europe/faroe-islands/index.php
Miðvágur,Vágar,"1,040",https://www.worlddata.info/europe/faroe-islands/index.php
Eiði,Eysturoy,634,https://www.worlddata.info/europe/faroe-islands/index.php
Sandur,Sandoy,608,https://www.worlddata.info/europe/faroe-islands/index.php
Helsinki / Capital,Mikkeli,"646,000",https://www.worlddata.info/europe/finland/index.php
Espoo,Mikkeli,"281,000",https://www.worlddata.info/europe/finland/index.php
Tampere,Central Finland,"234,000",https://www.worlddata.info/europe/finland/index.php
Vantaa,Mikkeli,"226,000",https://www.worlddata.info/europe/finland/index.php
Oulu,Central Finland,"203,000",https://www.worlddata.info/europe/finland/index.php
Turku,Uusimaa,"191,000",https://www.worlddata.info/europe/finland/index.php
Jyväskylä,Central Finland,"141,000",https://www.worlddata.info/europe/finland/index.php
Lahti,Vaasa,"120,000",https://www.worlddata.info/europe/finland/index.php
